date,heure_locale,moteur,bureau,intention_exacte,url,etat_session,fichier_image,sha256_image,fichier_texte,sha256_texte
2026-09-17,11h18,Google AI Mode,herteltan,architecte pour une rénovation d'appartement à Genève,https://www.google.com/search?q=architecte+pour+une+r%C3%A9novation+d%27appartement+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfC1aKkr91T7TXkAMsezPMq9ZNoFOTwPD5msaA3ccatbHQ1zxhwGy9l6vV3oTRMTzohQK7KFEMlr8E9SJXXJne0R5sNDRx_EHU8FjS7HDmiwc2Xn5na1Jn6epDdNfcDya7cxhMhQ6pudehNLNsEhin65pK8njMmZ2uIJQYw0NRbM3Ev-IJiGdZ18KdBEMEB8pY2wVkw6_VTmqDGpyoKNVpsBildplM8ofEjxI4yaf-T3YVajgUpKeEDRqKk9loRm9B5ubFw3ic_EEg&csuir=1&mtid=LLCratPWJ4aD9u8Pq7-2-Ac,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h18_googleaimode_herteltan.txt,c175c9a082084988195c7f996e9d21fb5ce9d2cefc96c65c5dd8bc39277230c8
2026-09-17,11h43,Google AI Mode,meier,meilleur bureau d'architectes à Genève,https://www.google.com/search?q=meilleur+bureau+d%27architectes+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfC83QiSlOtw2ZmauCqAk2CR-lVAvPjthP815k0-OpWw9MHcfgMiRSAnxcwo5a-iNcpZEm0DUwaYARS2u-H7eQZ63mgEw_QvX3m6M-vWmXn264GddHwv6UVNEmV73i22JuodimOkopPoFVxkFGkJA_FHi1owln7VMRc&csuir=1&mtid=Q7aratLfGeeP-d8PwLyzkAU,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h43_googleaimode_meier.txt,f1774719b06662e345862b2aa2ac945a476f5c1aefe661ff34ff0e930c98aaed
2026-09-17,11h20,Google AI Mode,csdk,architecte d'intérieur haut de gamme à Genève,https://www.google.com/search?q=architecte+d%27int%C3%A9rieur+haut+de+gamme+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfDlCGHansGTHt_-7GUq_xJVzq-ZQyGE4mfxo58p112QZ6tw9AeiWNcTU-hABGqPXXN-q_5N0uccuDDSHOzXRghUHUwodlCH8ZcH9p25XZMAzISFvXkIWf_nj503mGiqZrSZxDk53PXIsp3vQbYsTQRscNpb8ZQgLFamUH6C8Ca17S7Zwkmeexq9UqTWvF3YUk2uYkKIzztJIkYsP3vB9yv0aHzJdqAlWto0PDHyT1OZUgHrMVKrmRx-QfObr6t6We8HYMqf17yshA&csuir=1&mtid=q7CravbJFLGT9u8PzojlgAs,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h20_googleaimode_csdk.txt,a6bec497397c234ca3fed26618dadc792fd02196d5cfa5f43b5f09963860b632
2026-09-17,11h20,Google AI Mode,camille-aryeh,architecte d'intérieur à Genève,https://www.google.com/search?q=architecte+d%27int%C3%A9rieur+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfCJRzqIDjGaYR2zEvh78lfeBhZKnY-_vbH_9IVtkrkNMS8SA1aNbCTd98QKTLxFMinB4O1hy_SEeJsxiNLi1zdHLaiBmwDXTZ4Z_0fBI0S3Hq9E5jM1RT3fVrgv7-8sQOBhicEBmFSzJ155MNqO19Q-S8d13IjNyxBwUeNlgVbKW0GwS6rBm4UrGgo_Ga1ZA5i0ohEvZ9uhGw7dAS93qnCtLUp77wT4rrJxIxGOBk2M2rgq-W2rhYyCkUX2dJwUyRGX0r4hqMFSYw&csuir=1&mtid=uLCraum3LfOH9u8PuNDJkQQ,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h20_googleaimode_camille-aryeh.txt,d04c41cc3a5f44373ee1ebe4af02954ba685e2adacfa761f520a033d7adf9eb0
2026-09-17,11h20,Google AI Mode,corpus,bureau d'architectes pour un projet immobilier à Genève,https://www.google.com/search?q=bureau+d%27architectes+pour+un+projet+immobilier+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfCO6lN2B81rCSy146nVZD8vYBjyGSLihC0xdKzYMJit9DApmQ3Me9ueZFE5QWMS_x5ZVvdpVbj58qvctxCodPQdUWtG5C7t9XmMkea25IDx4_4prJu1Pw14rhxKRjMjs5gD2h28NRJVSvgo0H046n5aGQoELptaOfLZiVqxL-LlY5rjaaL-Jfk0Teh5U-SU83feBqpoJIvYP4BZV3S4n7dLNy5vCLpjY0myQxPRsYLxIZTTl99l4lQ1XATyaEI-BkSJ6Ytwt9MNSQ&csuir=1&mtid=z7Crap6XLoCK9u8Pg-q_GQ,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h20_googleaimode_corpus.txt,ad238c0074b8ee8d3e684aaa6700445cef5ab52430ac0fc623ef7c39d1b054a8
2026-09-17,11h20,Google AI Mode,ambrosetti,architecte pour une villa contemporaine à Genève,https://www.google.com/search?q=architecte+pour+une+villa+contemporaine+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfDRqLZvPFnWkRR5kkU7cACnN8d7Zckc5EkpBEWwjiqhgkL3GeJXUbud65nmRVe44s0-Pk6OY-46zLCkZ9L-AM90zuWe4jZJ9VzXVwAOSWl7wnGCZv2lMo8Dpcb-NCLlXxw_vqkOIBLynH7AijwQ65nheWX-hgc2iAt2dPz7Pp9u5MsI3hd6_oVS7M1gdu0lAdj02VX_TrINuFIQAoJacfaG7KHylM6eWcmK25QauQYQZ1KdjArCdwqh4eR-SMI0UeDPEZ6rz_8Sm8c&csuir=1&mtid=3LCraqOYN9Dr7_UPnMjf8Qw,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h20_googleaimode_ambrosetti.txt,a1237bd35f7a01c31fee64565cb3e31b434b46e8400613e6ca5b6eef0e95d420
2026-09-17,11h20,Google AI Mode,keller,meilleur architecte à Genève,https://www.google.com/search?q=meilleur+architecte+%C3%A0+Gen%C3%A8ve&udm=50&mstk=AUtExfBdyB0I-1rvw0gUZ3MrkRLep0dMDpjudOBQ9GkAk2RzRvIt4SX6EwNPtkkLR1CK4RpkQiAtdWmcpYyfl9FIAtLF1rDIDkoTz4UpteVnjr8W6b2F1bO5Jk0h21ifqMmHDzxgMHFAyokQbvI2hnvhDSWudNRpgAm0PZpTo4e4ZjA1TJ2IEPSl-N-BEW9fegg5uGMjS3TDPrp_vmsx4_ZDcSTWmTKx7MgDp2qSUuUdKD6NlAGvrrpgNKcULB-1XdN7X4juzxqoxcvwZg&csuir=1&mtid=6rCraru4Ae-D9u8PhdDskQk,"connecte (declare, non montre - voir journal ecart n1)",AUCUNE - voir journal ecart n1,,2026-09-17_11h20_googleaimode_keller.txt,13d560169c0e18e7d48c92f834464d949789df3c9814a6ef3071e22e3754f2de
